Size,Resolution,Refresh rate,Processor,RAM,Disc,Graphics card,Price in zl
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5099
"16.1""", 1920 x 1080px, 60Hz,Intel Core i5-11400,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4999
"15.6""", 1920 x 1080px, 60Hz,Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,2199
"17.3""", 1920 x 1080px, 144Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4699
"15.6""", 2560 x 1440px, 165Hz,Intel Core i7-11800H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,10099
"16.1""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4999
"15.6""", 1920 x 1080px, 360Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3070,9799
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,2499
"15.6""", 1920 x 1080px, 165Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4599
"17.3""", 1920 x 1080px, 60Hz,Intel Core i5-1155G7,8,512 GB SSD,Intel Iris Xe Graphics,2999
"15.6""", 1920 x 1080px, 144Hz,Intel Core i9-11900H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,8499
"14.2""", 3024 x 1964px, 120Hz,Apple M1 Pro,16,1000 GB SSD,Apple M1 Pro (16 rdzeni),12557
"13.3""", 2560 x 1600px, 2560 x 1600px,Apple M2,16,256 GB SSD,Apple M2 (10 rdzeni),8399
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,2549
"17.3""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5999
"13.3""", 2560 x 1600px, 2560 x 1600px,Intel Core i5-10210U,16,1000 GB SSD,Intel UHD Graphics,4099
"15.6""", 1920 x 1080px, 60Hz,Intel Celeron N4020,4,128 GB Flash,Intel UHD Graphics 600,1749
"14""", 2240 x 1400px, 60Hz,Intel Core i7-1165G7,16,1000 GB SSD,Intel Iris Xe Graphics,4799
"15.6""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,6999
"16.1""", 1920 x 1080px, 60Hz,Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4899
"15.6""", 1920 x 1080px, 120Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,3399
"13.5""", 2256 x 1504px, 60Hz,AMD Ryzen 5 4680U,8,256 GB SSD,AMD Radeon Graphics,4828
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,4199
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5500U,8,256 GB SSD,AMD Radeon Graphics,3399
"14.2""", 3024 x 1964px, 120Hz,Apple M1 Pro,16,512 GB SSD,Apple M1 Pro (14 rdzeni),9999
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,256 GB SSD,Intel Iris Xe Graphics,3799
"13.3""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,4999
